D:\python_Anaconda\envs\py3.9\python.exe E:\课程\#大三下\模式识别课设\retina\train2.py 
100%|██████████| 172/172 [02:31<00:00,  1.14it/s]
training_accs=[0.18617989803350327]  testing_accs=[0.21208053691275167] loss = 2.3582897186279297
100%|██████████| 172/172 [02:08<00:00,  1.33it/s]
training_accs=[0.3677166788055353]  testing_accs=[0.5302013422818792] loss = 2.0191922187805176
100%|██████████| 172/172 [02:08<00:00,  1.34it/s]
training_accs=[0.46194464675892205]  testing_accs=[0.5769127516778524] loss = 1.8408763408660889
100%|██████████| 172/172 [02:08<00:00,  1.34it/s]
training_accs=[0.5787509104151493]  testing_accs=[0.72] loss = 2.028090000152588
100%|██████████| 172/172 [02:09<00:00,  1.33it/s]
training_accs=[0.6368353969410051]  testing_accs=[0.7353020134228188] loss = 1.1983433961868286
100%|██████████| 172/172 [02:08<00:00,  1.34it/s]
training_accs=[0.7417152221412965]  testing_accs=[0.8126174496644295] loss = 1.2048051357269287
100%|██████████| 172/172 [02:07<00:00,  1.35it/s]
training_accs=[0.8291150764748726]  testing_accs=[0.8322147651006712] loss = 0.4709813892841339
100%|██████████| 172/172 [02:07<00:00,  1.35it/s]
training_accs=[0.9074107793153678]  testing_accs=[0.916241610738255] loss = 0.45115727186203003
100%|██████████| 172/172 [02:07<00:00,  1.35it/s]
training_accs=[0.9484705025491624]  testing_accs=[0.9449664429530201] loss = 0.4007953405380249
100%|██████████| 172/172 [02:07<00:00,  1.35it/s]
training_accs=[0.9588492352512746]  testing_accs=[0.9621476510067114] loss = 0.15175607800483704
100%|██████████| 172/172 [02:09<00:00,  1.33it/s]
training_accs=[0.9674071376547706]  testing_accs=[0.9618791946308725] loss = 0.04649059474468231
100%|██████████| 172/172 [02:12<00:00,  1.30it/s]
training_accs=[0.9755098324836126]  testing_accs=[0.9573154362416108] loss = 0.03819712996482849
100%|██████████| 172/172 [03:01<00:00,  1.05s/it]
training_accs=[0.9767844136926438]  testing_accs=[0.9884563758389262] loss = 0.033742357045412064
100%|██████████| 172/172 [02:44<00:00,  1.05it/s]
training_accs=[0.9898033503277495]  testing_accs=[0.9973154362416108] loss = 0.012047672644257545
100%|██████████| 172/172 [02:30<00:00,  1.15it/s]
training_accs=[0.982884195193008]  testing_accs=[0.9833557046979866] loss = 0.054282572120428085
100%|██████████| 172/172 [02:11<00:00,  1.31it/s]
training_accs=[0.9896212672978878]  testing_accs=[0.9922147651006712] loss = 0.14701902866363525
100%|██████████| 172/172 [02:18<00:00,  1.24it/s]
training_accs=[0.9904406409322651]  testing_accs=[0.9946308724832215] loss = 0.008970445021986961
100%|██████████| 172/172 [02:14<00:00,  1.27it/s]
training_accs=[0.9838856518572469]  testing_accs=[0.9699328859060403] loss = 0.6811220049858093
100%|██████████| 172/172 [02:13<00:00,  1.29it/s]
training_accs=[0.9788783685360525]  testing_accs=[0.9798657718120806] loss = 0.019711069762706757
100%|██████████| 172/172 [02:18<00:00,  1.24it/s]
training_accs=[0.9942643845593591]  testing_accs=[0.9935570469798658] loss = 0.0035854275338351727
100%|██████████| 172/172 [02:13<00:00,  1.29it/s]
training_accs=[0.9997268754552076]  testing_accs=[1.0] loss = 0.002194597152993083
100%|██████████| 172/172 [02:16<00:00,  1.26it/s]
training_accs=[1.0]  testing_accs=[1.0] loss = 3.3299424103461206e-05
100%|██████████| 172/172 [02:12<00:00,  1.30it/s]
training_accs=[1.0]  testing_accs=[1.0] loss = 0.00024296528135892004
100%|██████████| 172/172 [02:14<00:00,  1.28it/s]
training_accs=[1.0]  testing_accs=[1.0] loss = 0.0006422823644243181
100%|██████████| 172/172 [02:11<00:00,  1.31it/s]
training_accs=[0.9985433357611071]  testing_accs=[0.9978523489932886] loss = 0.0006053008837625384
100%|██████████| 172/172 [02:09<00:00,  1.33it/s]
training_accs=[0.9999089584850692]  testing_accs=[1.0] loss = 0.0005063259159214795
100%|██████████| 172/172 [02:06<00:00,  1.36it/s]
training_accs=[0.9994537509104151]  testing_accs=[0.9994630872483221] loss = 0.0012463473249226809
100%|██████████| 172/172 [02:09<00:00,  1.33it/s]
training_accs=[0.9823379461034232]  testing_accs=[0.9841610738255033] loss = 0.22536374628543854
100%|██████████| 172/172 [02:10<00:00,  1.31it/s]
training_accs=[0.9861616897305171]  testing_accs=[0.9865771812080537] loss = 0.08046988397836685
100%|██████████| 172/172 [02:10<00:00,  1.32it/s]
training_accs=[0.9909868900218499]  testing_accs=[0.9954362416107383] loss = 0.011183925904333591
100%|██████████| 172/172 [02:10<00:00,  1.32it/s]
training_accs=[0.9962672978878369]  testing_accs=[0.9975838926174496] loss = 0.03608648478984833
100%|██████████| 172/172 [02:11<00:00,  1.31it/s]
training_accs=[0.9993627093954843]  testing_accs=[0.9991946308724832] loss = 0.00045316710020415485
100%|██████████| 172/172 [02:08<00:00,  1.34it/s]
training_accs=[0.9998179169701383]  testing_accs=[0.9994630872483221] loss = 0.0006381869316101074
100%|██████████| 172/172 [02:11<00:00,  1.31it/s]
training_accs=[0.9968135469774217]  testing_accs=[0.9978523489932886] loss = 0.004023986402899027
100%|██████████| 172/172 [02:12<00:00,  1.30it/s]
training_accs=[0.9981791697013839]  testing_accs=[1.0] loss = 0.009917952120304108
100%|██████████| 172/172 [02:14<00:00,  1.28it/s]
training_accs=[0.9953568827385287]  testing_accs=[0.9967785234899329] loss = 0.0978221669793129
100%|██████████| 172/172 [02:10<00:00,  1.32it/s]
training_accs=[0.9986343772760379]  testing_accs=[0.9991946308724832] loss = 0.0007924534729681909
100%|██████████| 172/172 [02:09<00:00,  1.33it/s]
training_accs=[0.9860706482155863]  testing_accs=[0.9935570469798658] loss = 0.09099797159433365
100%|██████████| 172/172 [02:10<00:00,  1.32it/s]
training_accs=[0.9994537509104151]  testing_accs=[0.9997315436241611] loss = 0.016134794801473618
100%|██████████| 172/172 [02:08<00:00,  1.34it/s]
training_accs=[0.9937181354697742]  testing_accs=[0.9946308724832215] loss = 0.0029386214446276426
100%|██████████| 172/172 [02:08<00:00,  1.34it/s]
training_accs=[0.9999089584850692]  testing_accs=[1.0] loss = 0.000653729191981256
100%|██████████| 172/172 [02:09<00:00,  1.33it/s]
training_accs=[0.9999089584850692]  testing_accs=[1.0] loss = 6.92458706907928e-05
100%|██████████| 172/172 [02:10<00:00,  1.31it/s]
training_accs=[1.0]  testing_accs=[1.0] loss = 0.00015021493891254067
100%|██████████| 172/172 [02:12<00:00,  1.30it/s]
training_accs=[1.0]  testing_accs=[1.0] loss = 0.0012158409226685762
100%|██████████| 172/172 [02:13<00:00,  1.29it/s]
training_accs=[1.0]  testing_accs=[1.0] loss = 2.0693634724011645e-05
100%|██████████| 172/172 [02:08<00:00,  1.34it/s]
training_accs=[1.0]  testing_accs=[1.0] loss = 4.595931386575103e-05
100%|██████████| 172/172 [02:06<00:00,  1.36it/s]
training_accs=[1.0]  testing_accs=[1.0] loss = 1.0013553719545598e-06
100%|██████████| 172/172 [02:12<00:00,  1.29it/s]
training_accs=[1.0]  testing_accs=[1.0] loss = 5.0114424084313214e-05
100%|██████████| 172/172 [02:10<00:00,  1.31it/s]
training_accs=[1.0]  testing_accs=[1.0] loss = 0.00048307946417480707
100%|██████████| 172/172 [02:07<00:00,  1.35it/s]
training_accs=[1.0]  testing_accs=[1.0] loss = 3.4190190490335226e-05

进程已结束,退出代码0
