D:\python_Anaconda\envs\py3.9\python.exe E:\课程\#大三下\模式识别课设\retina\train2.py 
100%|██████████| 172/172 [02:01<00:00,  1.41it/s]
epoch = 0 training_accs=[0.2558266569555717]  testing_accs=[0.4155704697986577] loss = 2.1785221099853516
100%|██████████| 172/172 [01:44<00:00,  1.64it/s]
epoch = 1 training_accs=[0.28951201747997085]  testing_accs=[0.3857718120805369] loss = 2.130425214767456
100%|██████████| 172/172 [01:40<00:00,  1.70it/s]
epoch = 2 training_accs=[0.31737072104879827]  testing_accs=[0.3932885906040268] loss = 2.1975796222686768
100%|██████████| 172/172 [01:39<00:00,  1.73it/s]
epoch = 3 training_accs=[0.37745812090313186]  testing_accs=[0.5251006711409396] loss = 1.8058011531829834
100%|██████████| 172/172 [01:37<00:00,  1.76it/s]
epoch = 4 training_accs=[0.40504369992716677]  testing_accs=[0.6432214765100671] loss = 1.7565728425979614
100%|██████████| 172/172 [01:38<00:00,  1.74it/s]
epoch = 5 training_accs=[0.44482884195193007]  testing_accs=[0.574765100671141] loss = 1.7129271030426025
100%|██████████| 172/172 [01:39<00:00,  1.73it/s]
epoch = 6 training_accs=[0.4559359067734887]  testing_accs=[0.5398657718120805] loss = 1.7664272785186768
100%|██████████| 172/172 [01:39<00:00,  1.73it/s]
epoch = 7 training_accs=[0.4394573925710124]  testing_accs=[0.5205369127516779] loss = 1.7795217037200928
100%|██████████| 172/172 [01:43<00:00,  1.67it/s]
epoch = 8 training_accs=[0.4718681718863802]  testing_accs=[0.5586577181208053] loss = 1.6448547840118408
100%|██████████| 172/172 [01:43<00:00,  1.66it/s]
epoch = 9 training_accs=[0.4981791697013838]  testing_accs=[0.644026845637584] loss = 1.2472550868988037
100%|██████████| 172/172 [01:43<00:00,  1.66it/s]
epoch = 10 training_accs=[0.5005462490895849]  testing_accs=[0.5852348993288591] loss = 1.8417937755584717
100%|██████████| 172/172 [01:41<00:00,  1.70it/s]
epoch = 11 training_accs=[0.5267662053896577]  testing_accs=[0.6620134228187919] loss = 1.5699467658996582
100%|██████████| 172/172 [01:41<00:00,  1.70it/s]
epoch = 12 training_accs=[0.5254005826656956]  testing_accs=[0.6708724832214765] loss = 1.4664418697357178
100%|██████████| 172/172 [01:43<00:00,  1.66it/s]
epoch = 13 training_accs=[0.55180262199563]  testing_accs=[0.6550335570469799] loss = 1.4975922107696533
100%|██████████| 172/172 [01:47<00:00,  1.61it/s]
epoch = 14 training_accs=[0.5384195193008011]  testing_accs=[0.6875167785234899] loss = 1.2944004535675049
100%|██████████| 172/172 [01:50<00:00,  1.56it/s]
epoch = 15 training_accs=[0.5655498907501821]  testing_accs=[0.6829530201342282] loss = 1.39417564868927
100%|██████████| 172/172 [01:44<00:00,  1.64it/s]
epoch = 16 training_accs=[0.5813911143481427]  testing_accs=[0.6703355704697986] loss = 1.1667044162750244
100%|██████████| 172/172 [01:37<00:00,  1.76it/s]
epoch = 17 training_accs=[0.5937727603787327]  testing_accs=[0.6961073825503356] loss = 1.193857192993164
100%|██████████| 172/172 [01:37<00:00,  1.76it/s]
epoch = 18 training_accs=[0.5696467589220685]  testing_accs=[0.7065771812080537] loss = 1.1255905628204346
100%|██████████| 172/172 [01:39<00:00,  1.73it/s]
epoch = 19 training_accs=[0.610251274581209]  testing_accs=[0.7095302013422818] loss = 1.2544057369232178
100%|██████████| 172/172 [01:38<00:00,  1.75it/s]
epoch = 20 training_accs=[0.601238164603059]  testing_accs=[0.7014765100671141] loss = 1.1032588481903076
100%|██████████| 172/172 [01:37<00:00,  1.76it/s]
epoch = 21 training_accs=[0.6208120903131829]  testing_accs=[0.7167785234899329] loss = 0.9395849704742432
100%|██████████| 172/172 [01:37<00:00,  1.76it/s]
epoch = 22 training_accs=[0.6161689730517116]  testing_accs=[0.7009395973154362] loss = 1.2128405570983887
100%|██████████| 172/172 [01:39<00:00,  1.74it/s]
epoch = 23 training_accs=[0.6235433357611071]  testing_accs=[0.7296644295302014] loss = 1.4214239120483398
100%|██████████| 172/172 [01:40<00:00,  1.72it/s]
epoch = 24 training_accs=[0.6296431172614713]  testing_accs=[0.7063087248322147] loss = 1.0734694004058838
100%|██████████| 172/172 [01:39<00:00,  1.73it/s]
epoch = 25 training_accs=[0.6348324836125273]  testing_accs=[0.7379865771812081] loss = 1.0443339347839355
100%|██████████| 172/172 [01:39<00:00,  1.73it/s]
epoch = 26 training_accs=[0.6483976693372178]  testing_accs=[0.7302013422818792] loss = 1.3179285526275635
100%|██████████| 172/172 [01:39<00:00,  1.73it/s]
epoch = 27 training_accs=[0.6409322651128915]  testing_accs=[0.7283221476510067] loss = 0.8688926696777344
100%|██████████| 172/172 [01:38<00:00,  1.74it/s]
epoch = 28 training_accs=[0.6275491624180627]  testing_accs=[0.6783892617449664] loss = 1.180760383605957
100%|██████████| 172/172 [01:38<00:00,  1.74it/s]
epoch = 29 training_accs=[0.6588674435542607]  testing_accs=[0.7218791946308725] loss = 1.0356043577194214
100%|██████████| 172/172 [01:39<00:00,  1.74it/s]
epoch = 30 training_accs=[0.6660597232337946]  testing_accs=[0.7414765100671141] loss = 1.221081018447876
100%|██████████| 172/172 [01:39<00:00,  1.73it/s]
epoch = 31 training_accs=[0.6684268026219956]  testing_accs=[0.7202684563758389] loss = 1.1573078632354736
100%|██████████| 172/172 [01:39<00:00,  1.73it/s]
epoch = 32 training_accs=[0.663965768390386]  testing_accs=[0.7293959731543624] loss = 1.0675595998764038
100%|██████████| 172/172 [01:39<00:00,  1.73it/s]
epoch = 33 training_accs=[0.6707938820101966]  testing_accs=[0.709261744966443] loss = 1.0264837741851807
100%|██████████| 172/172 [01:41<00:00,  1.70it/s]
epoch = 34 training_accs=[0.661598689002185]  testing_accs=[0.7543624161073825] loss = 0.9628781676292419
100%|██████████| 172/172 [01:40<00:00,  1.72it/s]
epoch = 35 training_accs=[0.6737072104879825]  testing_accs=[0.7476510067114094] loss = 0.6891231536865234
100%|██████████| 172/172 [01:40<00:00,  1.71it/s]
epoch = 36 training_accs=[0.6918244719592134]  testing_accs=[0.7468456375838927] loss = 0.8498251438140869
100%|██████████| 172/172 [01:40<00:00,  1.71it/s]
epoch = 37 training_accs=[0.6778951201747997]  testing_accs=[0.7318120805369127] loss = 0.9756105542182922
100%|██████████| 172/172 [01:40<00:00,  1.72it/s]
epoch = 38 training_accs=[0.6793517844136926]  testing_accs=[0.785234899328859] loss = 0.9950097799301147
100%|██████████| 172/172 [01:46<00:00,  1.61it/s]
epoch = 39 training_accs=[0.6906409322651129]  testing_accs=[0.7111409395973154] loss = 1.0796092748641968
100%|██████████| 172/172 [01:46<00:00,  1.61it/s]
epoch = 40 training_accs=[0.7054806991988347]  testing_accs=[0.748993288590604] loss = 1.0001990795135498
100%|██████████| 172/172 [01:44<00:00,  1.64it/s]
epoch = 41 training_accs=[0.7013838310269482]  testing_accs=[0.7677852348993288] loss = 0.949851393699646
100%|██████████| 172/172 [01:41<00:00,  1.69it/s]
epoch = 42 training_accs=[0.7112163146394757]  testing_accs=[0.7699328859060403] loss = 0.9947689771652222
100%|██████████| 172/172 [01:41<00:00,  1.70it/s]
epoch = 43 training_accs=[0.7173160961398398]  testing_accs=[0.7693959731543624] loss = 0.7129638195037842
100%|██████████| 172/172 [01:42<00:00,  1.68it/s]
epoch = 44 training_accs=[0.7141296431172615]  testing_accs=[0.7865771812080536] loss = 0.9951209425926208
100%|██████████| 172/172 [01:42<00:00,  1.67it/s]
epoch = 45 training_accs=[0.7109431900946832]  testing_accs=[0.7506040268456375] loss = 0.7474374771118164
100%|██████████| 172/172 [01:43<00:00,  1.67it/s]
epoch = 46 training_accs=[0.7165877640203933]  testing_accs=[0.781744966442953] loss = 0.9999369978904724
100%|██████████| 172/172 [01:42<00:00,  1.68it/s]
epoch = 47 training_accs=[0.7269664967225055]  testing_accs=[0.781744966442953] loss = 0.6562151908874512
100%|██████████| 172/172 [01:41<00:00,  1.70it/s]
epoch = 48 training_accs=[0.7239621267297888]  testing_accs=[0.7863087248322148] loss = 0.8966994881629944
100%|██████████| 172/172 [01:45<00:00,  1.63it/s]
epoch = 49 training_accs=[0.7301529497450837]  testing_accs=[0.7825503355704698] loss = 0.9197359085083008
100%|██████████| 172/172 [01:51<00:00,  1.55it/s]
epoch = 50 training_accs=[0.7256008739985433]  testing_accs=[0.7989261744966443] loss = 0.643836259841919
100%|██████████| 172/172 [01:40<00:00,  1.71it/s]
epoch = 51 training_accs=[0.7321558630735615]  testing_accs=[0.7699328859060403] loss = 0.8809899091720581
100%|██████████| 172/172 [01:41<00:00,  1.69it/s]
epoch = 52 training_accs=[0.7326110706482156]  testing_accs=[0.7911409395973155] loss = 1.0067315101623535
100%|██████████| 172/172 [01:41<00:00,  1.69it/s]
epoch = 53 training_accs=[0.7327931536780772]  testing_accs=[0.760268456375839] loss = 1.0786054134368896
100%|██████████| 172/172 [01:42<00:00,  1.68it/s]
epoch = 54 training_accs=[0.7396212672978878]  testing_accs=[0.760268456375839] loss = 0.7223078012466431
100%|██████████| 172/172 [01:41<00:00,  1.69it/s]
epoch = 55 training_accs=[0.7441733430444283]  testing_accs=[0.7653691275167785] loss = 0.8874925374984741
100%|██████████| 172/172 [01:43<00:00,  1.66it/s]
epoch = 56 training_accs=[0.7460852148579752]  testing_accs=[0.7838926174496644] loss = 0.8159434199333191
100%|██████████| 172/172 [01:44<00:00,  1.64it/s]
epoch = 57 training_accs=[0.7364348142753095]  testing_accs=[0.8] loss = 0.6451330780982971
100%|██████████| 172/172 [01:41<00:00,  1.69it/s]
epoch = 58 training_accs=[0.7513656227239621]  testing_accs=[0.7900671140939597] loss = 0.6863235831260681
100%|██████████| 172/172 [01:42<00:00,  1.67it/s]
epoch = 59 training_accs=[0.7429898033503277]  testing_accs=[0.7659060402684563] loss = 0.4872240126132965
100%|██████████| 172/172 [01:42<00:00,  1.68it/s]
epoch = 60 training_accs=[0.751911871813547]  testing_accs=[0.7825503355704698] loss = 0.69781094789505
100%|██████████| 172/172 [01:42<00:00,  1.68it/s]
epoch = 61 training_accs=[0.7526402039329935]  testing_accs=[0.7822818791946309] loss = 1.0055859088897705
100%|██████████| 172/172 [01:41<00:00,  1.70it/s]
epoch = 62 training_accs=[0.7566460305899491]  testing_accs=[0.7804026845637584] loss = 0.8488669395446777
100%|██████████| 172/172 [01:43<00:00,  1.66it/s]
epoch = 63 training_accs=[0.7589220684632192]  testing_accs=[0.8013422818791947] loss = 0.4634433686733246
100%|██████████| 172/172 [01:41<00:00,  1.70it/s]
epoch = 64 training_accs=[0.7568281136198106]  testing_accs=[0.7895302013422819] loss = 0.8056491017341614
100%|██████████| 172/172 [01:44<00:00,  1.64it/s]
epoch = 65 training_accs=[0.7596504005826656]  testing_accs=[0.8212080536912751] loss = 0.9285246133804321
100%|██████████| 172/172 [01:46<00:00,  1.61it/s]
epoch = 66 training_accs=[0.7621995630007283]  testing_accs=[0.7900671140939597] loss = 0.6764582991600037
100%|██████████| 172/172 [01:41<00:00,  1.70it/s]
epoch = 67 training_accs=[0.7635651857246905]  testing_accs=[0.781476510067114] loss = 0.7353079319000244
100%|██████████| 172/172 [01:41<00:00,  1.70it/s]
epoch = 68 training_accs=[0.7614712308812819]  testing_accs=[0.7804026845637584] loss = 0.509564995765686
100%|██████████| 172/172 [01:41<00:00,  1.69it/s]
epoch = 69 training_accs=[0.7713037144938092]  testing_accs=[0.814496644295302] loss = 0.5854504108428955
100%|██████████| 172/172 [01:41<00:00,  1.69it/s]
epoch = 70 training_accs=[0.7698470502549163]  testing_accs=[0.7943624161073826] loss = 0.8590091466903687
100%|██████████| 172/172 [01:41<00:00,  1.69it/s]
epoch = 71 training_accs=[0.7682083029861617]  testing_accs=[0.8163758389261745] loss = 0.741126537322998
100%|██████████| 172/172 [01:42<00:00,  1.68it/s]
epoch = 72 training_accs=[0.776584122359796]  testing_accs=[0.8093959731543624] loss = 0.7188414335250854
100%|██████████| 172/172 [01:43<00:00,  1.67it/s]
epoch = 73 training_accs=[0.7667516387472687]  testing_accs=[0.7895302013422819] loss = 0.6039284467697144
100%|██████████| 172/172 [01:41<00:00,  1.70it/s]
epoch = 74 training_accs=[0.765203932993445]  testing_accs=[0.781476510067114] loss = 0.6100401878356934
100%|██████████| 172/172 [01:44<00:00,  1.65it/s]
epoch = 75 training_accs=[0.7798616168973052]  testing_accs=[0.8112751677852349] loss = 0.6149717569351196
100%|██████████| 172/172 [01:43<00:00,  1.66it/s]
epoch = 76 training_accs=[0.7802257829570284]  testing_accs=[0.8045637583892618] loss = 0.7462709546089172
100%|██████████| 172/172 [01:41<00:00,  1.69it/s]
epoch = 77 training_accs=[0.7788601602330663]  testing_accs=[0.822013422818792] loss = 0.7521175742149353
100%|██████████| 172/172 [01:42<00:00,  1.68it/s]
epoch = 78 training_accs=[0.782319737800437]  testing_accs=[0.8212080536912751] loss = 0.7002158164978027
100%|██████████| 172/172 [01:41<00:00,  1.69it/s]
epoch = 79 training_accs=[0.7833211944646759]  testing_accs=[0.8024161073825503] loss = 0.5777588486671448
100%|██████████| 172/172 [01:41<00:00,  1.69it/s]
epoch = 80 training_accs=[0.7827749453750911]  testing_accs=[0.8016107382550336] loss = 0.7066922187805176
100%|██████████| 172/172 [01:43<00:00,  1.67it/s]
epoch = 81 training_accs=[0.7785870356882738]  testing_accs=[0.8059060402684564] loss = 0.6108401417732239
100%|██████████| 172/172 [01:42<00:00,  1.68it/s]
epoch = 82 training_accs=[0.7874180626365622]  testing_accs=[0.817986577181208] loss = 0.5818157196044922
100%|██████████| 172/172 [01:42<00:00,  1.67it/s]
epoch = 83 training_accs=[0.7890568099053168]  testing_accs=[0.8131543624161074] loss = 0.4895039498806
100%|██████████| 172/172 [01:43<00:00,  1.67it/s]
epoch = 84 training_accs=[0.7855972323379461]  testing_accs=[0.8096644295302013] loss = 0.5940670967102051
100%|██████████| 172/172 [01:42<00:00,  1.68it/s]
epoch = 85 training_accs=[0.7875091041514931]  testing_accs=[0.817986577181208] loss = 0.6791187524795532
100%|██████████| 172/172 [01:41<00:00,  1.69it/s]
epoch = 86 training_accs=[0.7886926438455936]  testing_accs=[0.8161073825503355] loss = 0.7245637774467468
100%|██████████| 172/172 [01:42<00:00,  1.68it/s]
epoch = 87 training_accs=[0.7887836853605243]  testing_accs=[0.8147651006711409] loss = 0.702195942401886
100%|██████████| 172/172 [01:42<00:00,  1.68it/s]
epoch = 88 training_accs=[0.7912418062636563]  testing_accs=[0.8131543624161074] loss = 0.3706029951572418
100%|██████████| 172/172 [01:42<00:00,  1.68it/s]
epoch = 89 training_accs=[0.7915149308084487]  testing_accs=[0.8131543624161074] loss = 0.7441396713256836
100%|██████████| 172/172 [01:40<00:00,  1.71it/s]
epoch = 90 training_accs=[0.7938820101966497]  testing_accs=[0.8171812080536913] loss = 0.6244712471961975
100%|██████████| 172/172 [01:46<00:00,  1.61it/s]
epoch = 91 training_accs=[0.7960670065549891]  testing_accs=[0.8225503355704697] loss = 0.6815008521080017
100%|██████████| 172/172 [01:54<00:00,  1.50it/s]
epoch = 92 training_accs=[0.7958849235251274]  testing_accs=[0.8265771812080537] loss = 0.512310802936554
100%|██████████| 172/172 [01:54<00:00,  1.50it/s]
epoch = 93 training_accs=[0.7958849235251274]  testing_accs=[0.8091275167785235] loss = 0.6803760528564453
100%|██████████| 172/172 [01:55<00:00,  1.49it/s]
epoch = 94 training_accs=[0.7952476329206118]  testing_accs=[0.8225503355704697] loss = 0.7556864023208618
100%|██████████| 172/172 [01:53<00:00,  1.52it/s]
epoch = 95 training_accs=[0.7959759650400583]  testing_accs=[0.8190604026845637] loss = 0.5162642002105713
100%|██████████| 172/172 [01:55<00:00,  1.48it/s]
epoch = 96 training_accs=[0.7996176256372906]  testing_accs=[0.8238926174496645] loss = 0.5952712297439575
100%|██████████| 172/172 [01:53<00:00,  1.51it/s]
epoch = 97 training_accs=[0.7971595047341588]  testing_accs=[0.8096644295302013] loss = 0.828047513961792
100%|██████████| 172/172 [01:53<00:00,  1.52it/s]
epoch = 98 training_accs=[0.7984340859431901]  testing_accs=[0.8174496644295302] loss = 0.6781646609306335
100%|██████████| 172/172 [01:56<00:00,  1.48it/s]
epoch = 99 training_accs=[0.8000728332119447]  testing_accs=[0.8059060402684564] loss = 0.7178769111633301

进程已结束,退出代码0
